"","phenotype","definition","comments","medicalAnalyst","validatedByRealData"
"56","1003_NSCLC","Only NSCLC","","oleg.zhuk@odysseusinc.com"," "
"57","1003_C34.X_C7A.090","C34.00   Malignant neoplasm of unspecified main bronchus
C34.01   Malignant neoplasm of right main bronchus
C34.02   Malignant neoplasm of left main bronchus
C34.10   Malignant neoplasm of upper lobe, unspecified bronchus or lung
C34.11   Malignant neoplasm of upper lobe, right bronchus or lung
C34.12   Malignant neoplasm of upper lobe, left bronchus or lung
C34.2     Malignant neoplasm of middle lobe, bronchus or lung
C34.30   Malignant neoplasm of lower lobe, unspecified bronchus or lung
C34.31   Malignant neoplasm of lower lobe, right bronchus or lung
C34.32   Malignant neoplasm of lower lobe, left bronchus or lung
C34.80   Malignant neoplasm of overlapping sites of unspecified bronchus and lung
C34.81   Malignant neoplasm of overlapping sites of right bronchus and lung
C34.82   Malignant neoplasm of overlapping sites of left bronchus and lung
EXCLUDING:
C34.90   Malignant neoplasm of unspecified part of unspecified bronchus or lung
C34.91   Malignant neoplasm of unspecified part of right bronchus or lung
C34.92   Malignant neoplasm of unspecified part of left bronchus or lung
C7A.090                Malignant carcinoid tumor of the bronchus and lung","","oleg.zhuk@odysseusinc.com"," "
"58","1003_source_concept_id_C34.X_C7A.090","C34.90   Malignant neoplasm of unspecified part of unspecified bronchus or lung
C34.91   Malignant neoplasm of unspecified part of right bronchus or lung
C34.92   Malignant neoplasm of unspecified part of left bronchus or lung
C7A.090                Malignant carcinoid tumor of the bronchus and lung","For concepts with very general mapping","oleg.zhuk@odysseusinc.com"," "
"59","1003_immunotherapy_ICI","atezolizumab, ipilimumab, nivolumab, pembrolizumab","Durvalumab","oleg.zhuk@odysseusinc.com"," "
"60","1003_chemotherapy","carboplatin, cisplatin, docetaxel, etoposide, gemcitabine, nab paclitaxel, paclitaxel, pemetrexed, vinorelbine","","oleg.zhuk@odysseusinc.com"," "
"61","","","","oleg.zhuk@odysseusinc.com"," "
"62","1053_hemophilia_B","D67","","oleg.zhuk@odysseusinc.com"," "
"63","1053_factor_IX","","","oleg.zhuk@odysseusinc.com"," "
"64","","","","oleg.zhuk@odysseusinc.com"," "
"65","","","while Oleg was on a sick leave","oleg.zhuk@odysseusinc.com"," "
"66","","","","oleg.zhuk@odysseusinc.com"," "
"67","","","while Oleg was on a sick leave","oleg.zhuk@odysseusinc.com"," "
"68","","","","oleg.zhuk@odysseusinc.com"," "
"69","1094-1098_myasthenia_gravis","G70.00
G70.01
G70.2","Regeneron team sent 2 concept sets, none of them seem completely satisfying","oleg.zhuk@odysseusinc.com","validated"
"70","1094-1098_myasthenia_gravis_source_concept_id_G70.1","G70.1","","oleg.zhuk@odysseusinc.com","validated"
"71","","","","oleg.zhuk@odysseusinc.com"," "
"72","1060_olanzapine_any","ingredient level","HCPCS concepts covered by mapping","oleg.zhuk@odysseusinc.com","validated"
"73","1060_olanzapine_brand","Zyprexa + Symbyax","","oleg.zhuk@odysseusinc.com","validated"
"74","1060_olanzapine_generic","only OMOP Branded Drugs, but not considered branded by the Reg team","","oleg.zhuk@odysseusinc.com","validated"
"75","1060_olanzapine_oral","regardless of brand, only oral forms","","oleg.zhuk@odysseusinc.com","validated"
"76","1060_olanzapine_injection","regardless of brand, only injectable forms + HCPCS with wrong mapping","","oleg.zhuk@odysseusinc.com","validated"
"77","1060_risperidone_any","ingredient level","","oleg.zhuk@odysseusinc.com","validated"
"78","1060_risperidone_brand","Risperdal","","oleg.zhuk@odysseusinc.com","validated"
"79","1060_risperidone_generic","only OMOP Branded Drugs, but not considered branded by the Reg team","","oleg.zhuk@odysseusinc.com","validated"
"80","1060_risperidone_oral","regardless of brand, only oral forms","","oleg.zhuk@odysseusinc.com","validated"
"81","1060_risperidone_injection","regardless of brand, only injectable forms + HCPCS with wrong mapping","","oleg.zhuk@odysseusinc.com","validated"
"82","","","","oleg.zhuk@odysseusinc.com"," "
"83","1083_FL_C82.X","FL: C82.X","From cohort 864","oleg.zhuk@odysseusinc.com","validated"
"84","1083_FL_source_concept_id_C82.X","C82.X - source_concept_id for codes with problem mapping","From cohort 864","oleg.zhuk@odysseusinc.com","validated"
"85","1083_antiCD20","list of anti-CD20 drugs, without ocrelizumab, ofatumumab, belimumab","From cohort 864","oleg.zhuk@odysseusinc.com","validated"
"86","1083_alkylating_agents","Bendamustine, Chlorambucil, Cyclophosphamide (cytophosphane)","From emails","oleg.zhuk@odysseusinc.com","validated"
"87","1083_lenalidomide","lenalidomide","","oleg.zhuk@odysseusinc.com","validated"
"88","1083_rituximab","rituximab","","oleg.zhuk@odysseusinc.com","validated"
"89","","","","oleg.zhuk@odysseusinc.com"," "
"90","1076_iop_lowering","Brimonidine tartrate 0.1%, 0.15% 
Apraclonidine HCI 0.5%, 1% 
Timolol hemihydrate 0.25%, 0.5% 
Timolol Maleate 0.5%
Levobunolol HCI ophthalmic solution, USP 0.25%, 0.5% 
Metipranolol 0.3%
Timolol Maleate Ophthalmic Solution 0.5%
Timolol maleate ophthalmic solution 0.25%, 0.5% in Ocudose dispenser
Timolol maleate ophthalmic gel forming solution 0.25%, 0.5%
Betaxolol HCI 0.25%, 0.5%
Methazolamide 
Dorzolamide HCI 2%
Brinzolamide ophthalmic suspension 1%
Acetazolamide 
Pilocarpine HCI 1%, 2%, 4%
Pilocarpine HCl 1%, 2%, 4% 
Carbachol 0.75%, 1.5%, 3%
Pilocarpine HCl gel 4%
Netarsudil and Latanoprost ophthalmic solution 0.02%/0.005%
Dorzolomide HCI & Timolol Maleate
Brimonidine Tartrate & Timolol Maleate ophthalmic solution 0.2%/0.5%
Brinzolamide & Brimonidine tartrate 1%/0.2%
Tafluprost ophthalmic solution 0.0015% (PF)
Bimatoprost 10 mcg implant
Bimatoprost 0.01%, 0.03%
Latanoprostene bunod 0.024%
Travaprost 0.004%
Latanoprost 0.005%
Latanoprost ophthalmic emulsion 0.005%","REG interested in NDC codes only; drug list came from the email","oleg.zhuk@odysseusinc.com"," "
"91","1076_iop_lowering_source_concept_id","","Drugs, identified through the brand name search; not needed!","oleg.zhuk@odysseusinc.com"," "
"92","","","","oleg.zhuk@odysseusinc.com"," "
"93","1111_hidradenitis_suppurativa","hidradenitis suppurativa","","oleg.zhuk@odysseusinc.com"," "
"94","1111_palmoplantar_pustulosis","palmoplantar pustulosis","","oleg.zhuk@odysseusinc.com"," "
"95","","","","oleg.zhuk@odysseusinc.com"," "
"96","1109_diabetes","","https://forums.ohdsi.org/t/phenotype-phebruary-day-1-type-2-diabetes-mellitus/15764","oleg.zhuk@odysseusinc.com","validated"
"97","1109_obesity","ICD 10 E66.1: Drug-induced obesity.
ICD 10 E66.2: Severe obesity with alveolar hypoventilation.
ICD 10 E66.3: Overweight.
ICD 10 E66.8: Other obesity.
ICD 10 E66.9: Obesity, unspecified.
ICD 10 E66.0: Obesity due to excess calories.
ICD 10 E66.01: Severe obesity due to excess calories.
ICD 10 E66.09: Other obesity due to excess calories.
ICD 10 Z68.25-29.9: Body mass index (BMI) 25-29.9, adult.
ICD 10 Z68.30-Z68.39: Body mass index (BMI) 30.0-39.9, adult.
ICD 10 Z68.4: Body mass index (BMI) 40 or greater, adult.
ICD 10 Z68.41: Body mass index (BMI) 40.0-44.9, adult.
ICD 10 Z68.42: Body mass index (BMI) 45.0-49.9, adult.
ICD 10 Z68.43: Body mass index (BMI) 50-59.9, adult.
ICD 10 Z68.44: Body mass index (BMI) 60.0-69.9, adult.
ICD 10 Z68.45: Body mass index (BMI) 70 or greater, adult.","","oleg.zhuk@odysseusinc.com","validated"
"98","1109_semaglutide_any","ingredient level","","oleg.zhuk@odysseusinc.com","validated"
"99","1109_semaglutide_brand_wegovy","Wegovy","","oleg.zhuk@odysseusinc.com","validated"
"100","1109_semaglutide_generic","Not needed, because generic drugs for wegovy are other phenotypes","Reg team didn't know about generic","oleg.zhuk@odysseusinc.com","validated"
"101","1109_liraglutide_any","ingredient level","","oleg.zhuk@odysseusinc.com","validated"
"102","1109_liraglutide_brand_saxenda","Saxenda","","oleg.zhuk@odysseusinc.com","validated"
"103","1109_liraglutide_generic","Not needed, because generic drugs for saxenda are other phenotypes","","oleg.zhuk@odysseusinc.com","validated"
"104","1109_naltrexone_buproprion_any_combination","only combinations!","","oleg.zhuk@odysseusinc.com","validated"
"105","1109_naltrexone_buproprion_brand_contrave","Contrave","","oleg.zhuk@odysseusinc.com","validated"
"106","1109_naltrexone_buproprion_generic","","","oleg.zhuk@odysseusinc.com","validated"
"107","1109_phentermine_topiramate_any_combination","only combinations!","","oleg.zhuk@odysseusinc.com","validated"
"108","1109_phentermine_topiramate_brand_qsymia","Qsymia","","oleg.zhuk@odysseusinc.com","validated"
"109","1109_phentermine_topiramate_generic","NOT IDENTIFIED","","oleg.zhuk@odysseusinc.com","validated"
"110","1109_orlistat_any","ingredient level","","oleg.zhuk@odysseusinc.com","validated"
"111","1109_orlistat_brand_xenical","Xenical","","oleg.zhuk@odysseusinc.com","validated"
"112","1109_orlistat_generic","","","oleg.zhuk@odysseusinc.com","validated"
"113","1109_liraglutide_brand_victoza","Victoza","","oleg.zhuk@odysseusinc.com","validated"
"114","1109_liraglutide_generic","Not needed, because generic drugs for Victoza are other phenotypes","","oleg.zhuk@odysseusinc.com","validated"
"115","1109_liraglutide_insulin_brand_xultophy","Xultophy","","oleg.zhuk@odysseusinc.com","validated"
"116","1109_semaglutide_brand_ozempic ","Ozempic","","oleg.zhuk@odysseusinc.com","validated"
"117","1109_semaglutide_brand_rybelsus","Rybelsus","","oleg.zhuk@odysseusinc.com","validated"
"118","1109_exenatide_any","ingredient level","","oleg.zhuk@odysseusinc.com","validated"
"119","1109_exenatide_brand_byetta","Byetta","","oleg.zhuk@odysseusinc.com","validated"
"120","1109_dulaglutide_any","ingredient level","","oleg.zhuk@odysseusinc.com","validated"
"121","1109_dulaglutide_brand_trulicity","Trulicity","","oleg.zhuk@odysseusinc.com","validated"
"122","1109_lixisenatide_any","ingredient level","","oleg.zhuk@odysseusinc.com","validated"
"123","1109_lixisenatide_brand_adlyxin","Adlyxin","","oleg.zhuk@odysseusinc.com","validated"
"124","1109_lixisenatide_insulin_brand_soliqua","Soliqua","","oleg.zhuk@odysseusinc.com","validated"
"125","1109_exenatide_brand_bydureon","Bydureon","","oleg.zhuk@odysseusinc.com","validated"
"126","1109_albiglutide_any","ingredient level","","oleg.zhuk@odysseusinc.com","validated"
"127","1109_albiglutide_brand_tanzeum","Tanzeum","","oleg.zhuk@odysseusinc.com","validated"
"128","","","","oleg.zhuk@odysseusinc.com"," "
"129","1086_luspatercept","","One HCPCS code is missing, will be added during next release","oleg.zhuk@odysseusinc.com","validated"
"130","1086_ferritin_measurement","","","oleg.zhuk@odysseusinc.com","validated"
"131","1086_MDS","D46.1, D46.20, D46.21, D46.22, D46.B","","oleg.zhuk@odysseusinc.com","validated"
"132","1086_MDS_RS","D46.1, D46.B","","oleg.zhuk@odysseusinc.com","validated"
"133","1086_B_thal","D56.1, D56.5","","oleg.zhuk@odysseusinc.com","validated"
"134","1086_transfusion","from Reg email: focus on whole blood or red blood cell transfusions","","oleg.zhuk@odysseusinc.com","validated"
"135","","","","oleg.zhuk@odysseusinc.com"," "
"136","1137_ Estimating the prevalence xanthomas xanthelasma  patients ","","","mikita.salavei@odysseusinc.com ","validated"
"137","","","","oleg.zhuk@odysseusinc.com"," "
"138","1050_moderate_severe_asthma","J45.4* or J45.5*","","mikita.salavei@odysseusinc.com ","validated"
